"";"ano";"CNAE1";"X20";"n"
"327";1964;"Atividades imobili?rias";"GO";1
"328";1964;"Atividades imobili?rias";"MG";3
"329";1964;"Atividades imobili?rias";"PE";1
"330";1964;"Atividades imobili?rias";"RJ";1
"331";1964;"Atividades imobili?rias";"RS";1
"332";1964;"Atividades imobili?rias";"SC";1
"333";1964;"Atividades imobili?rias";"SP";10
"334";1964;"Atividades profissionais, científicas e técnicas";"CE";1
"335";1964;"Atividades profissionais, científicas e técnicas";"GO";3
"336";1964;"Atividades profissionais, científicas e técnicas";"MT";2
"337";1964;"Atividades profissionais, científicas e técnicas";"PA";1
"338";1964;"Atividades profissionais, científicas e técnicas";"PE";2
"339";1964;"Atividades profissionais, científicas e técnicas";"PR";2
"340";1964;"Atividades profissionais, científicas e técnicas";"RJ";1
"341";1964;"Atividades profissionais, científicas e técnicas";"SE";1
"342";1964;"Atividades profissionais, científicas e técnicas";"SP";5
"343";1964;"Comércio; reparação de veículos automotores e motocicletas";"AM";2
"344";1964;"Comércio; reparação de veículos automotores e motocicletas";"BA";2
"345";1964;"Comércio; reparação de veículos automotores e motocicletas";"DF";1
"346";1964;"Comércio; reparação de veículos automotores e motocicletas";"GO";2
"347";1964;"Comércio; reparação de veículos automotores e motocicletas";"MG";1
"348";1964;"Comércio; reparação de veículos automotores e motocicletas";"PE";1
"349";1964;"Comércio; reparação de veículos automotores e motocicletas";"PR";3
"350";1964;"Comércio; reparação de veículos automotores e motocicletas";"RJ";3
"351";1964;"Comércio; reparação de veículos automotores e motocicletas";"RS";1
"352";1964;"Comércio; reparação de veículos automotores e motocicletas";"SP";22
"353";1964;"Construção";"BA";1
"354";1964;"Construção";"ES";1
"355";1964;"Construção";"SP";2
"356";1964;"Educação";"BA";1
"357";1964;"Educação";"RJ";1
"358";1964;"Educação";"RS";1
"359";1964;"Educação";"SP";3
"360";1964;"Indústrias de transformação ";"DF";3
"361";1964;"Indústrias de transformação ";"ES";1
"362";1964;"Indústrias de transformação ";"PR";1
"363";1964;"Indústrias de transformação ";"RJ";2
"364";1964;"Indústrias de transformação ";"RN";1
"365";1964;"Indústrias de transformação ";"SE";1
"366";1964;"Indústrias de transformação ";"SP";13
"367";1964;"Indústrias extrativas";"PR";1
"368";1964;"Informação e comunicação";"SE";1
"369";1964;"Informação e comunicação";"SP";3
"370";1964;"Organismos internacionais e outras instituições extraterritoriais";"DF";3
"371";1964;"Organismos internacionais e outras instituições extraterritoriais";"RJ";1
"372";1964;"Outras atividades de serviços";"AL";1
"373";1964;"Outras atividades de serviços";"AM";1
"374";1964;"Outras atividades de serviços";"DF";2
"375";1964;"Outras atividades de serviços";"MS";1
"376";1964;"Outras atividades de serviços";"PE";2
"377";1964;"Outras atividades de serviços";"PR";3
"378";1964;"Outras atividades de serviços";"RJ";2
"379";1964;"Outras atividades de serviços";"RS";1
"380";1964;"Outras atividades de serviços";"SC";1
"381";1964;"Outras atividades de serviços";"SP";8
"382";1964;"Saúde humana e serviços sociais ";"RJ";2
"383";1964;"Saúde humana e serviços sociais ";"RS";1
"384";1964;"Transporte, armazenagem e correio";"MG";1
"385";1964;"Transporte, armazenagem e correio";"RJ";1
"386";1965;"Administração pública, defesa e seguridade social";"AC";1
"387";1965;"Administração pública, defesa e seguridade social";"AM";1
"388";1965;"Administração pública, defesa e seguridade social";"BA";3
"389";1965;"Administração pública, defesa e seguridade social";"CE";1
"390";1965;"Administração pública, defesa e seguridade social";"DF";1
"391";1965;"Administração pública, defesa e seguridade social";"MG";5
"392";1965;"Administração pública, defesa e seguridade social";"PA";1
"393";1965;"Administração pública, defesa e seguridade social";"PI";1
"394";1965;"Administração pública, defesa e seguridade social";"PR";2
"395";1965;"Administração pública, defesa e seguridade social";"RS";12
"396";1965;"Administração pública, defesa e seguridade social";"SC";2
"397";1965;"Administração pública, defesa e seguridade social";"SP";7
"398";1965;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"BA";1
"399";1965;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"PR";1
"400";1965;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"RJ";2
"401";1965;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"RS";3
"402";1965;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"SP";2
"403";1965;"Alojamento e alimentação";"ES";2
"404";1965;"Alojamento e alimentação";"MG";1
"405";1965;"Alojamento e alimentação";"PA";1
"406";1965;"Alojamento e alimentação";"PI";1
"407";1965;"Alojamento e alimentação";"PR";1
"408";1965;"Alojamento e alimentação";"RJ";7
"409";1965;"Alojamento e alimentação";"RS";4
"410";1965;"Alojamento e alimentação";"SC";1
"411";1965;"Alojamento e alimentação";"SP";15
"412";1965;"Artes, cultura, esporte e recreação";"DF";1
"413";1965;"Artes, cultura, esporte e recreação";"MA";1
"414";1965;"Artes, cultura, esporte e recreação";"MG";3
"415";1965;"Artes, cultura, esporte e recreação";"PE";3
"416";1965;"Artes, cultura, esporte e recreação";"PI";1
"417";1965;"Artes, cultura, esporte e recreação";"PR";6
"418";1965;"Artes, cultura, esporte e recreação";"RJ";1
"419";1965;"Artes, cultura, esporte e recreação";"RS";13
"420";1965;"Artes, cultura, esporte e recreação";"SC";3
"421";1965;"Artes, cultura, esporte e recreação";"SP";12
"422";1965;"Atividades administrativas e serviços complementares";"BA";1
"423";1965;"Atividades administrativas e serviços complementares";"DF";1
"424";1965;"Atividades administrativas e serviços complementares";"GO";1
"425";1965;"Atividades administrativas e serviços complementares";"MG";12
"426";1965;"Atividades administrativas e serviços complementares";"PE";8
"427";1965;"Atividades administrativas e serviços complementares";"PR";5
"428";1965;"Atividades administrativas e serviços complementares";"RJ";30
"429";1965;"Atividades administrativas e serviços complementares";"RS";70
"430";1965;"Atividades administrativas e serviços complementares";"SP";35
